INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
4182568,23.3,1012.0,61.0,15.36,0.0,10000.0,6.2,
4267369,15.41,1025.0,72.0,10.39,40.0,10000.0,0.0,
1602096,20.67,1010.0,96.0,20.01,75.0,8047.0,3.1,
1825844,16.76,1016.0,18.0,-6.82,20.0,10000.0,8.2,
1333736,13.09,1021.0,100.0,13.09,100.0,2012.0,0.0,
3653994,22.25,1021.0,73.0,17.18,20.0,10000.0,2.1,
3078652,16.78,1017.0,81.0,13.5,75.0,10000.0,3.6,
4064917,22.96,1012.0,90.0,21.23,100.0,10000.0,2.6,
2587763,22.63,1008.0,57.0,13.69,20.0,10000.0,10.3,
983916,-15.0,1033.0,77.0,-17.8,0.0,10000.0,2.1,
5166971,4.93,1008.0,88.0,3.11,100.0,10000.0,4.1,1.03
3980637,30.69,1016.0,64.0,23.1,75.0,10000.0,3.6,
295361,12.36,1016.0,97.0,11.9,100.0,402.0,2.1,
2917058,27.04,1017.0,69.0,20.87,40.0,10000.0,4.1,0.14
1890130,11.97,1009.0,86.0,9.7,100.0,10000.0,2.1,0.15
2529544,24.09,1010.0,53.0,13.92,100.0,10000.0,3.6,
3703793,31.78,1011.0,36.0,14.88,40.0,10000.0,3.6,
4415347,24.45,1015.0,58.0,15.65,20.0,10000.0,3.1,
4630959,12.54,1014.0,37.0,-1.54,40.0,10000.0,6.2,
3778667,22.64,1017.0,81.0,19.21,40.0,10000.0,2.1,
4994251,13.52,1016.0,100.0,13.52,100.0,201.0,1.5,
658400,2.24,1023.0,58.0,-4.58,75.0,10000.0,8.2,
820339,-2.96,1033.0,87.0,-4.6,100.0,4828.0,7.7,
1260183,0.4,1023.0,36.0,-11.54,75.0,10000.0,5.1,
5207841,10.6,1016.0,68.0,4.95,40.0,10000.0,3.1,
4713031,1.07,1017.0,92.0,-0.07,100.0,1600.0,5.1,
2281858,23.43,1013.0,87.0,21.14,100.0,10000.0,6.7,0.25
117132,-22.09,1030.0,74.0,-25.14,100.0,10000.0,5.7,
475405,0.72,1016.0,90.0,-0.64,100.0,10000.0,4.1,
3408627,28.19,1016.0,68.0,21.72,75.0,10000.0,6.7,
2158214,30.73,1022.0,53.0,20.05,75.0,10000.0,3.1,
1581927,13.56,1008.0,50.0,3.35,0.0,10000.0,4.1,
5283277,21.96,1013.0,71.0,16.47,100.0,10000.0,8.2,
3578495,27.97,1014.0,81.0,24.4,0.0,10000.0,3.1,
4123517,12.69,1022.0,83.0,9.88,0.0,10000.0,3.6,
4919407,5.6,1031.0,70.0,0.57,20.0,10000.0,3.6,
